Category,SKU,ProductName,Location,Bin,BatchSerialNumber,ExpiryDate,Discount,StockValue,OnHand,VolumeOnHand,Available,OnOrder,InTransit,Allocated,Status,Unit,Family,StockLocator,Brand,PriceTier1,PriceTier2,PriceTier3,NextDeliveryDate
"Xero","8008230800607","ACCA KAPPA WHITE MOSS BAD & DOUCHE 500 ML","WNL","PL14","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800607","ACCA KAPPA WHITE MOSS BAD & DOUCHE 500 ML","WNL","PL18","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800607","ACCA KAPPA WHITE MOSS BAD & DOUCHE 500 ML","WNL","PL3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800652","ACCA KAPPA WHITE MOSS BODY LOTION 300ML","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800652","ACCA KAPPA WHITE MOSS BODY LOTION 300ML","WNL","2-H-3","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800652","ACCA KAPPA WHITE MOSS BODY LOTION 300ML","WNL","5-F-5","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800652","ACCA KAPPA WHITE MOSS BODY LOTION 300ML","WNL","5-J-6","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800652","ACCA KAPPA WHITE MOSS BODY LOTION 300ML","WNL","PL14","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800652","ACCA KAPPA WHITE MOSS BODY LOTION 300ML","WNL","PL18","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800867","ACCA KAPPA WHITE MOSS CONDITIONER 250 ML","WNL","","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230800867","ACCA KAPPA WHITE MOSS CONDITIONER 250 ML","WNL","G7","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","ACCA KAPPA",0.0000,0.0000,0.0000,
"Xero","8008230801116","Acca Kappa White Moss Deodarant Stick 75ml","WNL","5-F-4","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
"Xero","8008230801116","Acca Kappa White Moss Deodarant Stick 75ml","WNL","PL18","",,"",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,ACTIVE,"Xero","","","",0.0000,0.0000,0.0000,
