store,websites,attribute_set,type,sku,name,qty,sku_type
admin,base,Fragrance,simple,886266681154,"Floris Sirena Eau de Parfum 100ml  （Tester）",7.0000,
admin,base,Fragrance,simple,886266371154,"Floris Cherry Blossom Eau de Parfum 100ml （Tester）",2.0000,
admin,base,Fragrance,simple,886266541151,"Floris 1976  Eau de Parfum 100ml （Tester）",0.0000,
admin,base,Fragrance,simple,886266461152,"Floris Leather Oud Eau de Parfum 100ml （Tester）",0.0000,
admin,base,Fragrance,simple,886266091260,"Floris Cefiro Eau de Toilette 100ml （Tester）",8.0000,
admin,base,Fragrance,simple,886266051254,"Floris Lily of the Valley Eau de Toilette 100ml （Tester）",10.0000,
admin,base,Fragrance,simple,886266921260,"Floris White Rose Eau de Toilette 100ml （Tester）",24.0000,
admin,base,Fragrance,simple,3770004394463,"Liquides Imaginaires Peau De Bete Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,3770004394654,"Liquides Imaginaires Beaute du Diable Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3760303360115,"Liquides Imaginaires Bete Humaine Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3770004394579,"Liquides Imaginaires Belle Bete Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3770004394715,"Liquides Imaginaires Tapis Volant Eau de Parfum 100ml",3.0000,
admin,base,Fragrance,simple,3770004394036,"Liquides Imaginaires Dom Rosa Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,3770004394050,"Liquides Imaginaires Bloody Wood Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,3770004394593,"Liquides Imaginaires Fleuve Tendre Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,3770004394043,"Liquides Imaginaires Bello Rabelo Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3770004394685,"Liquides Imaginaires Boveur De Vent Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3770004394623,"Liquides Imaginaires Desert Sauve Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,3770004394746,"Liquides Imaginaires Fleur De Sable Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3770004394012,"Liquides Imaginaires Fortis Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,3760303360016,"Liquides Imaginaires Phantasma Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,3770004394357,"Liquides Imaginaires Saltus Eau de Parfum 100ml",3.0000,
admin,base,Fragrance,simple,8681008055395,"Nishane Zenne Extrait de Parfum 50 ml",0.0000,
admin,base,Fragrance,simple,3770004394005,"Liquides Imaginaires Sancti Eau de Parfum 100ml",5.0000,
admin,base,Fragrance,simple,3770004394364,"Liquides Imaginaires Succus Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3770004394340,"Liquides Imaginaires Tellus Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3770004394029,"Liquides Imaginaires Tumultu Eau de Parfum 100ml",2.0000,
admin,base,Fragrance,simple,3760303360009,"Liquides Imaginaires lacrima Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3760303360023,"Liquides Imaginaires Melancolia Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,3770004394227,"Liquides Imaginaires Dom Rosa Eau de Parfum 1.2ml Sample",0.0000,
admin,base,Fragrance,simple,3770004394203,"Liquides Imaginaires Fortis Eau de Parfum 1.2ml Sample",0.0000,
admin,base,Fragrance,simple,5051198880016,"Miller Harris Violet Ida Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,5051198670013,"Miller Harris Vetivert Insolent Eau de Parfum 100ml",2.0000,
admin,base,Fragrance,simple,5051198596016,"Miller Harris Coeur de Jardin Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,5051198770010,"Miller Harris Peau Santal Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,5051198740013,"Miller Harris Secret Gardenia Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,5051198640016,"Miller Harris L'eau Magnetic Eau de Parfum 100ml",4.0000,
admin,base,Fragrance,simple,5051198680012,"Miller Harris Etui Noir Eau de Parfum 100ml",2.0000,
admin,base,Fragrance,simple,5051198086012,"Miller Harris Feuilles de Tabac Eau de Parfum 100ml",4.0000,
admin,base,Fragrance,simple,5051198586017,"Miller Harris Poirier d'un Soir Eau de Parfum 100ml",2.0000,
admin,base,Fragrance,simple,5051198898011,"Miller Harris DANCE amongst the LACE Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,5051198208018,"Miller Harris WANDER through the PARKS Eau de Parfum 100ml",4.0000,
admin,base,Fragrance,simple,5051198208032,"Miller Harris LOST in the CITY Eau de Parfum 100ml",3.0000,
admin,base,Fragrance,simple,5051199000017,"Miller Harris Scherzo Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,5051198486034,"Miller Harris Le Cedre Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,5051198482029,"Miller Harris La Feuille Eau de Parfum 100ml",1.0000,
admin,base,Fragrance,simple,8028713578021,"Acqua di Parma Blue Mediterraneo Fico di Amalfi Eau de Toilette 150ml (Tester)",,
admin,base,Fragrance,simple,8033488157845,"Xerjoff Amber Gold Parfum 50ml + Rose Gold Parfum 50ml",1.0000,
admin,base,Fragrance,simple,8033488155551,"Xerfoff Symphonium Parfum 100ml",5.0000,
admin,base,Fragrance,simple,8054320900214,"Xerjoff Decas Eau de Parfum 100ml",0.0000,
admin,base,Fragrance,simple,8033488159948,"Xerjoff Cruz Del Sur II - Erba Pura - Uden Overdose 3*15ml",0.0000,
admin,base,Fragrance,simple,8033488159979,"Xerjoff Pikovaya Dama - La Capitale - More Than Words 3*15ml",0.0000,
admin,base,Fragrance,simple,8033488159955,"Xerjoff Muse - Apollonia - Accento Overdose 3*15ml",0.0000,
admin,base,Fragrance,simple,8033488159962,"Xerjoff Naxos - Alexandria II - Golden Dallah 3X15ml",0.0000,
admin,base,Fragrance,simple,8033488155261,"Xerjoff Shunkoin Eau de Parfum 50ml",0.0000,
admin,base,Fragrance,simple,8033488157456,"Xerjoff 17/17 Stone Label PIKOVAYA DAMA Parfum 100ml (Tester)",0.0000,
admin,base,Fragrance,simple,3770004394791,"Liquides Imaginaires Fortis Eau de Parfum 7.5ml Travel Spray",7.0000,
